name,latitude,longitude,address,provider,connectors,online,kilowatts,twenty_four_hours
One Degree 15 (Private access only),1.245909609,103.8397942,"11 Cove Drive, #01-01, Sentosa Cove, Singapore 098497",SPMobility,4,TRUE,35,TRUE
Caltex Dunearn,1.319029097,103.8331751,"130 Dunearn Rd, Singapore 309436",SPMobility,1,TRUE,14,TRUE
Tampines Plaza 2,1.3535029,103.9427497,"5 Tampines Central 1, Singapore 529541",SPMobility,4,TRUE,16,FALSE
Zhongshan Mall,1.327309246,103.8463667,"20 Ah Hood Rd, Singapore 329984",SPMobility,3,TRUE,14,FALSE
Tekka Place,1.30533125,103.8514154,"2 Serangoon Rd, Singapore 218227",SPMobility,8,TRUE,11,FALSE
Sheraton Towers,1.312049646,103.8365405,"39 Scotts Rd, Singapore 228230",SPMobility,4,TRUE,15,FALSE
Mapletree Business City,1.274604618,103.7996748,"10 Pasir Panjang Rd, Singapore 117438",SPMobility,4,TRUE,23,FALSE
Marina Square,1.291432278,103.857592,"6 Raffles Blvd, Marina Square, Singapore 039594",SPMobility,6,TRUE,13,FALSE
Vantage,1.289876243,103.8069891,"305 Alexandra Road, Singapore 159942",SPMobility,4,TRUE,7,FALSE
Caltex Changi,1.316608201,103.9002016,"78 Changi Rd, Singapore 419714",SPMobility,2,TRUE,13,TRUE
Jewel Changi Airport,1.360433441,103.9897486,"78 Airport Blvd., Singapore 819666",SPMobility,6,TRUE,20,FALSE
Techlink,1.335888192,103.9056257,"31 Kaki Bukit Rd 3, Singapore 417818",SPMobility,4,TRUE,8,FALSE
Shaw Centre,1.306550624,103.8318687,"1 Scotts Rd, Singapore 228208",SPMobility,4,TRUE,11,FALSE
Caltex Jurong Spring,1.349593551,103.7147572,"100 Jurong West Ave 1, Singapore 649519",SPMobility,1,TRUE,20,TRUE
Eightrium @ Changi Business Park,1.338116865,103.9644189,"15A Changi Business Park Central 1, Singapore 486035",SPMobility,4,TRUE,32,FALSE
PLQ Mall,1.317678563,103.8927715,"10 Paya Lebar Road, PLQ Mall, Paya Lebar Quarter, 409057",SPMobility,3,TRUE,8,FALSE
Grand Park City Hall,1.292619473,103.8501753,"10 Coleman St, Singapore 179809",SPMobility,4,TRUE,20,FALSE
Chinese Swimming Club,1.300459633,103.9005533,"21 Amber Rd, Singapore 439870",SPMobility,3,TRUE,21,TRUE
IMM,1.335094273,103.7467215,"2 Jurong East Street 21, Singapore 609601",SPMobility,4,TRUE,3,TRUE
Tanah Merah Ferry Terminal,1.314499993,103.9884705,"50 Tanah Merah Ferry Rd, Singapore 498833",SPMobility,5,TRUE,26,FALSE
Caltex Chong Pang,1.430536692,103.8298407,"3700 Yishun Ring Rd, Singapore 768690",SPMobility,1,TRUE,17,TRUE
Kinex,1.314925893,103.894852,"11 Tanjong Katong Rd, Singapore 437157",SPMobility,4,TRUE,5,FALSE
Paya Lebar Square,1.319416549,103.8926072,"60 Paya Lebar Rd, Singapore 409051",SPMobility,4,TRUE,17,FALSE
Techview,1.336375166,103.9097352,"1 Kaki Bukit View, Singapore 415941",SPMobility,4,TRUE,8,FALSE
Autobacs Ubi,1.33234781,103.8960646,"10 Ubi View, Singapore 408543",SPMobility,4,TRUE,12,TRUE
Plaza 8 CBP,1.333869784,103.9654734,"1 Changi Business Park Crescent, Changi Business Park, 486025",SPMobility,4,TRUE,11,FALSE
Tampines Plaza 1,1.3535029,103.9427497,"5 Tampines Central 1, Singapore 529541",SPMobility,4,TRUE,16,FALSE
PLQ 3,1.316116927,103.8937218,"2 Tanjong Katong Rd, PLQ 3, Quarter 437161",SPMobility,6,TRUE,5,FALSE
Pan Pacific Serviced Suites Orchard,1.301047512,103.8377051,"96 Somerset Rd, Singapore 238163",SPMobility,4,TRUE,35,FALSE
UIC Building,1.278090444,103.8496704,"5 Shenton Way, Singapore 068808",SPMobility,8,TRUE,12,FALSE
Citibank Changi (Private access only),1.333966888,103.966081,"3 Changi Business Park Cres, Level 1, Singapore 486026",SPMobility,4,TRUE,37,FALSE
