name,latitude,longitude,address,currently_open,pv_current_in,pv_energy_level,rate_current,rate_predicted,active
KSL City Mall,1.485534,103.762308,"Jalan Beruang, 80250 Taman Tasek, Johore, Malaysia",true,0,0,0.13,,true
SP Group: CSC Changi,1.3915290769316817,103.98520262309323,"2 Netheravon Rd, Singapore 508503",true,0,0,0.2,,true
BlueSG open to EVs: BLK 476 Upp Serangoon View,1.377267,103.903628,"476 Upper Serangoon View, Singapore 530476",true,0,0,0.46,,true
Penjuru Close #01-11by EVone Charging,1.313091,103.731755,28F Penjuru Close #01-11,true,0,0,0.37,,true
Corporation Place,1.32602,103.719828,"2 Corporation Rd, Singapore 618494",true,0,0,0.17,,true
Shell Bukit Batok,1.350191,103.738495,"11 Bukit Batok West Ave 3, Singapore 659166",true,0,0,0.17,,true
"BlueSG open to EVs: Blk 212, Serangoon Ave 4",1.356931,103.873222,"212 Serangoon Ave 4, Singapore 550212",true,0,0,0.44,,true
Johor Premium Outlets (3.7 kW AC),1.60292,103.622421,"Jalan Premium Outlets, 81400 Senai, Johore, Malaysia",true,0,0,0.33,,true
Marina Bay Cruise Center Singapore,1.266151,103.860488,"Marina Coastal Drive, Singapore",true,0,0,0.34,,true
Thistle Hotel Multi Level Car Park (3 pin),1.462316,103.74322,"Jalan Sungai Chat, Sri Gelam, 80100 Johor Bahru, Johor, Malaysia",true,0,0,0.42,,true
"BlueSG open to EVs: Blk 678A, Choa Chu Kang Crescent",1.401979,103.745077,"678A Choa Chu Kang Cres, Singapore 681678",true,0,0,0.52,,true
Shell Bukit Batok,1.347825,103.764854,"28 Bukit Batok East Ave 6, Singapore 659760",true,0,0,0.17,,true
Temasek Club,1.346985,103.780824,"131 Rifle Range Rd, #04-04, Singapore 588406",true,0,0,0.12,,true
Eco Spring,1.588156,103.757771,"2, Jalan Ekoflora Utama, 81100 Johor Bahru, Johor, Malaysia",true,0,0,0.1,,true
Starbucks Seri Austin DT,1.575883,103.747829,"Jalan Seri Austin 1, Taman Seri Austin, 81100 Johor Bahru, Johor",true,0,0,0.24,,true
Starbucks Shell Seri Alam DT (22 kW AC),1.5107954893126725,103.87764133102405,"Bandar Baru Seri Alam, 81750 Masai, Johor, Malaysia",true,0,0,0.39,,true
MEDINI 7 CORPORATE OFFICE (1 x 3.7 kW),1.413718,103.628348,"Jalan Medini Sentral 5, Bandar Medini Iskandar Malaysia, 79250, Iskandar Puteri",true,0,0,0.38,,true
WATT - The Rochelle,1.332928,103.790957,"188 Keng Lee Rd, Singapore 308414",true,0,0,0.19,,true
Tanah Merah Country Club Garden Course,1.328246,103.979775,"25 Changi Coast Road, Singapore 499803",true,0,0,0.38,,true
MYDIN Mutiara Rini (3 x 22 kW AC),1.5151474195350636,103.6353126168251,"7, Persiaran Jaya 1, Mutiara Rini, 81300 Johor Bahru, Johor, Malaysia",true,0,0,0.33,,true
Petronas Toll Skudai Northbound,1.579332,103.650349,"81400 Tampoi, Johore, Malaysia",true,0,0,0.31,,true
Charge+: Ci Yuan Community Club Basement Carpark,1.375239,103.882883,51 Hougang Avenue 9 Singapore 538776,true,0,0,0.48,,true
Singapore Polytechnic,1.309943,103.777368,"500 Dover Rd, Singapore 139651",true,0,0,0.21,,true
West Park BizCentral,1.315185,103.695214,"32 Pioneer Cres, Singapore 628561",true,0,0,0.2,,true
MapleTree Pionner Logistics Hub,1.3177871878172338,103.65339044017435,76 Pionner Road ,true,0,0,0.31,,true
SP Group: Techplace II,1.377181,103.866439,"5012 Ang Mo Kio Ave 5, Singapore 569872",true,0,0,0.22,,true
Tanah Merah Ferry Terminal,1.31412,103.9876,"50 Tanah Merah Ferry Rd, Singapore 498833",true,0,0,0.26,,true
DC Fast Charger @JEGS (Coming Soon),1.303421,103.686712,"45 Shipyard Rd, 45, Singapore 628136",true,0,0,0.35,,true
Sunway Citrine Hub (3 pin),1.390931,103.639452,"Persiaran Medini 3, Sunway City Iskandar Puteri, 79250 Iskandar Puteri, Johor, Malaysia",true,0,0,0.26,,true
Shell Ang Mo Kio,1.367883,103.844826,"3535 Ang Mo Kio Ave 6, Singapore 569839",true,0,0,0.16,,true
SP Group: Temasek Polytechnic Carpark E,1.347611,103.930455,"33 Tampines Ave 1, Singapore",true,0,0,0.39,,true
Gardens by the Bay - Main Entrance Carpark,1.281584,103.866253,18 Marina Gardens Dr,true,0,0,0.42,,true
Woodlands Industrial Park,1.451869,103.796326,"158 Woodlands Industrial Park E5, Singapore 757867",true,0,0,0.25,,true
Shell Punggol,1.404761,103.906631,"821 Punggol Rd, Singapore 829169",true,0,0,0.13,,true
"BlueSG open to EVs: Blk 346, Bt Batok St 34",1.362406,103.750959,"347 Bukit Batok Street 34, Singapore 650347",true,0,0,0.43,,true
"BlueSG open to EVs: Blk 472, Fernvale Street",1.397119,103.881632,"472 Fernvale St, Singapore 792472",true,0,0,0.44,,true
BlueSG open to EVs: 417 Pasir Ris Dr 6,1.372044,103.955051,"417 Pasir Ris Drive 6, Singapore 510417",true,0,0,0.38,,true
Tada Station,1.359834,103.833595,"40 Sin Ming Lane, Midview City, Singapore 573958",true,0,0,0.12,,true
BlueSG Charger (4.8kW AC),1.31248,103.874478,"114A Lor 3 Geylang, Singapore 382114 Lor 3 Geylang, Singapore 382114",true,0,0,0.25,,true
Shell Telok Blangah,1.270457,103.812772,"450 Telok Blangah Road, Singapore 098857",true,0,0,0.19,,true
