id,name,latitude,longitude,address,currently_open,pv_current_in,pv_energy_level,rate_current,rate_predicted,active,last_updated
5fa34e7d-323f-4cd8-975b-48c76f2186a0,Caltex Jurong spring,1.349641,103.71487,"100 Jurong West Ave 1, Singapore 649519",true,0,0,0.2,,true,2023-07-14 20:56:29.059062
64f063ef-52a9-4750-bb1a-8dd306ff67c5,LHN Energy Phoenix Park,1.29804,103.816568,"318 Tanglin Rd, Singapore 247979",true,0,0,0.23,,true,2023-07-14 20:56:29.059062
234e33b8-4987-4051-b1df-d4359f69db64,National Heart Center,1.281513,103.836831,"17 Third Hospital Avenue, Singapore",true,0,0,0.21,,true,2023-07-14 20:56:29.059062
8f5bae64-60c1-4538-a0f1-a1f8a3b0ca56,BlueSG open to EVs: Across 343 Telok Kurau Road,1.308638,103.912318,"21A St. Patrick's Road, Singapore 424143",true,0,0,0.47,,true,2023-07-14 20:56:29.059062
6e37405e-7d47-48c5-bcee-5822f463ad47,"BlueSG open to EVs: Blk 230, Jurong East St 21",1.341795,103.737547,"230 Jurong East Street 21, Singapore 600231",true,0,0,0.46,,true,2023-07-14 20:56:29.059062
73fa4631-e803-40b6-bfdb-e81f99675f21,Resorts World Sentosa,1.257043,103.820353,"8 Sentosa Gateway, Singapore 098269",true,0,0,0.21,,true,2023-07-14 20:56:29.059062
237c32b5-8e79-468c-865f-b877def9c2a1,SP: Vivocity,1.264843,103.823285,"1 HarbourFront Walk, Singapore 098585",true,0,0,0.12,,true,2023-07-14 20:56:29.059062
62f9fce2-27d1-43d3-aefb-75c1c0baaf37,Connexion,1.312553,103.854282,"1 Farrer Park Station Rd, Singapore 217562",true,0,0,0.9,,true,2023-07-14 20:56:29.059062
0bea976a-26ea-4e6a-bbc2-22026f18abd8,GoParkin: Union Gas building,1.350622,103.89087,"89 Defu Lane 10, Singapore 539220",true,0,0,0.28,,true,2023-07-14 20:56:29.059062
0e3feb08-aa1c-4b81-994b-366626914531,Charge+: Defu Industrial City,1.3448827324526693,103.89675123010906,2 Defu South Street 1,true,0,0,0.29,,true,2023-07-14 20:56:29.059062
1b6cb975-8dda-4655-ac21-35d839e546a2,ESSO Pioneer,1.312940252173984,103.68734506001852,19 Pioneer Road S628499,true,0,0,0.12,,true,2023-07-14 20:56:29.059062
46cb5443-af1c-4734-aabf-4553cba0c736,The Concourse,1.30136,103.862236,"300 Beach Rd, Singapore 199555",true,0,0,0.13,,true,2023-07-14 20:56:29.059062
0a9575c7-da17-49f3-9924-b268d6c05eb1,"BlueSG open to EVs: Blk 854A, Jurong West St 81",1.347799,103.696657,"854A Jurong West Street 81, Singapore 641854",true,0,0,0.47,,true,2023-07-14 20:56:29.059062
e10605aa-805f-412a-ae36-b3615066a2ee,BlueSG open to EVs: Blk 265 Yishun St 22,1.436903,103.838345,"266 Yishun Street 22, Singapore 760266",true,0,0,0.4,,true,2023-07-14 20:56:29.059062
ccd80d38-dcde-468b-95bf-4fa0ccc535df,Singapore Polytechnic MSCP,1.311246,103.776681,"Dover Road, Commonwealth‎ 13, Singapore",true,0,0,0.26,,true,2023-07-14 20:56:29.059062
5011f9e8-75a5-44b8-b14c-a857b1ae1af5,Autobacs Ubi,1.33314,103.896672,"10 Ubi View, Singapore 408543",true,0,0,0.12,,true,2023-07-14 20:56:29.059062
c23d9cc5-a435-438d-a99f-fc9aaf488063,KED ENERGY PTE LTD,1.3363712654194329,103.75465851277113,"48 Toh Guan Rd E, Singapore 608586",true,0,0,0.18,,true,2023-07-14 20:56:29.059062
831adea4-1783-4e68-98a6-231a5f75c7e4,CDG Engie: West Coast Park (McDonald’s),1.297562,103.763779,"71 W Coast Hwy, Singapore 126844",true,0,0,0.39,,true,2023-07-14 20:56:29.059062
5d1c59df-b07e-43b0-8b85-b3cd35941331,Shell,1.331795,103.888855,"255 Paya Lebar Rd, Singapore 409037",true,0,0,0.5,,true,2023-07-14 20:56:29.059062
ec51c54e-921e-48b1-ba0f-052d9f1798f9,CDGE: Esso Upper Aljunied,1.3322678261427052,103.8790348300666,"373 Upper Aljunied Rd, Singapore 367859",true,0,0,0.25,,true,2023-07-14 20:56:29.059062
7880464e-e070-494e-9e05-68e8fcaae0cc,"BlueSG open to EVs: Blk 903, Jurong West St 91",1.33961,103.686232,"903 Jurong West Street 91, Singapore 640903",true,0,0,0.46,,true,2023-07-14 20:56:29.059062
647874cc-fda6-46b9-8930-ed12ad2bb7cd,"BlueSG open to EVs: Blk 117, Commonwealth Drive",1.306944,103.799533,"117 Commonwealth Cres, Singapore",true,0,0,0.47,,true,2023-07-14 20:56:29.059062
4dde4687-ce78-481c-8025-c2d59d2216e9,UE Square Tower (red zone),1.293274,103.84234,"205 River Valley Rd, Singapore 238274",true,0,0,0.26,,true,2023-07-14 20:56:29.059062
b78adb1a-0bbf-47e8-8674-8b8bb79ab904,"BlueSG open to EVs: Blk 966A, Hougang Ave 9",1.377945,103.877754,"966A Hougang Avenue 9, Singapore 531966",true,0,0,0.43,,true,2023-07-14 20:56:29.059062
62c816a7-1436-482c-8f1e-29f7f025f8c1,"BlueSG open to EVs: Blk 326, Ubi Ave 1",1.32726,103.904208,"327 Ubi Ave 1, Block 327, Singapore 400327",true,0,0,0.38,,true,2023-07-14 20:56:29.059062
b9052a50-f143-406a-9659-91f41ae2238c,BlueSG open to EVs: BLK 853 Yishun Ring Road,1.416467,103.836745,"853 Yishun Ring Road, Singapore 760853",true,0,0,0.44,,true,2023-07-14 20:56:29.059062
22304a8f-64e0-48f5-b5b6-460f295ee30f,BlueSG open to EVs: Blk 513 Yishun Street 51,1.415948,103.8442,"513c Yishun Street 51, Singapore 760513",true,0,0,0.44,,true,2023-07-14 20:56:29.059062
9e170c1d-f33f-49a4-b251-c6462f8ff544,LHN Energy Raeburn Park,1.273106,103.833155,"10 Raeburn Park, Singapore 088702",true,0,0,0.23,,true,2023-07-14 20:56:29.059062
34864768-c483-413e-af89-70422743ae58,135A Pasir Ris Street 11,1.364802,103.956863,135A Pasir Ris Street 11,true,0,0,0.24,,true,2023-07-14 20:56:29.059062
9b45b1fd-3a94-45f6-84c3-8f9f0ca6d1ea,SP Group: Jewel Changi Airport,1.360699,103.989603,78 Airport Boulevard Singapore 819666,true,0,0,0.3,,true,2023-07-14 20:56:29.059062
8cef7b49-ed47-4104-9269-17842e298deb,Tanah Merah Country Club Tampines Course,1.3270196096163687,103.96994161767903,151 Xilin Avenue,true,0,0,0.4,,true,2023-07-14 20:56:29.059062
332b5d4e-47e7-4a9e-8072-0b148d0905f6,Mapletree,1.319214800107794,103.6882628000002,21 benoi sector,true,0,0,0.9,,true,2023-07-14 20:56:29.059062
5db6dfbf-4236-4ca8-9aab-7baf6106db02,SPC Bukit Batok,1.3432427908352402,103.75834370192821,"50 Bukit Batok East Ave 3, Singapore 659879",true,0,0,0.15,,true,2023-07-14 20:56:29.059062
a0298cf5-e991-4898-8666-ff9c3bf4671e,Expo Carpark D,1.3339762545044767,103.95838708806289,1 Expo drive ,true,0,0,0.14,,true,2023-07-14 20:56:29.059062
93c7242b-3a80-4332-b7c7-e2ce2eb01f57,CDG 787A Choa Chu Kang Dr,1.3951133955580453,103.74766113446626,"787A Choa Chu Kang Dr, 新加坡 680787",true,0,0,0.25,,true,2023-07-14 20:56:29.059062
e5757490-946a-4585-88e2-ed66bb53efdb,LHN Energy,1.372804,103.763206,794 Upper Bukit Timah Road,true,0,0,0.1,,true,2023-07-14 20:56:29.059062
369b4ff1-1b51-442b-9c15-966f9dcbcbb0,CDGE: 117 Alkaff Crescent,1.3368648834995271,103.87302016909817,"117 Alkaff Cres, Singapore 341115",true,0,0,0.25,,true,2023-07-14 20:56:29.059062
